Von;Nach;Dauer;Anzahl;Dauer
AKSS;AKSG;00:00:00.0000000;1017;0
KT  V;KT;00:00:00.0000000;16;0
XADG;XABH;00:00:00.0000000;213;0
XAHG;XAHGB;00:00:00.0000000;16;0
XALA;XAAB;00:00:00.0000000;67;0
XALN;XABI;00:00:00.0000000;16;0
XFMVD;XFMV;00:00:00.0000000;619;0
XFSTD;XFSTH;00:00:00.0000000;420;0
XARE;DSA;00:00:00.0400000;26;0
XALM;XALN;00:00:00.0900000;126;0
XASR;XASF;00:00:00.1433333;954;0
XAKA;XAAH;00:00:00.2500000;847;0
FHOEA;FHOES;00:00:00.4900000;5281;0
XARE;XALT;00:00:01.0566667;1005;1
XDVB;MMRU;00:00:01.4600000;13;1
XAMU;XAPL;00:00:01.4900000;362;1
TPT;TSNRE;00:00:02.0300000;12321;2
NFUF;NFUA;00:00:02.3266667;7405;2
TBKA;TBK;00:00:02.7966667;3051;2
TBK;TBKA;00:00:03.0133333;2994;3
XNZL;EXEM;00:00:03.2533333;55;3
HG;HEDM;00:00:03.8166667;22;3
XARE;XAS;00:00:04.1133333;2310;4
TSNRE;TPT;00:00:04.1800000;12216;4
DKH;XAHO;00:00:04.2733333;22;4
KDBW;KDBWN;00:00:04.3966667;5590;4
KKO;KKOL;00:00:04.4000000;33;4
FHOES;FHOEA;00:00:04.8200000;5098;4
KDBWN;KDBW;00:00:05.1466667;5422;5
RAPM;RAPR;00:00:05.2100000;24;5
AMD;AMDH;00:00:05.3200000;3191;5
EEDL;EEDZ;00:00:05.4000000;2237;5
TWSH;XDGL;00:00:05.5900000;22;5
TBWT;TBFK;00:00:05.7133333;636;5
BETN;BWUR;00:00:05.8433333;502;5
AKSG;AKSS;00:00:05.9533333;1035;5
RSLZ;RSLR;00:00:05.9900000;1979;5
FWO G;FWO;00:00:06.0000000;93;6
MOBU;MABO;00:00:06.0000000;1887;6
RBIE;RMS;00:00:06.0000000;15;6
MOP R;MOP A;00:00:06.0033333;4590;6
HBR V;HBOS;00:00:06.0066667;1162;6
KHER;KHERN;00:00:06.0766667;3036;6
RSLR;RSLZ;00:00:06.1333333;2051;6
XFMZV;XFMS;00:00:06.5133333;140;6
KHERN;KHER;00:00:06.9333333;3010;6
EHEOV;EHGN;00:00:07.4100000;778;7
TBFK;TBWT;00:00:07.4766667;654;7
RKLS;RMBK;00:00:07.9233333;1424;7
XAPL;XART;00:00:07.9366667;245;7
KNAMN;KNAM;00:00:08.0300000;3073;8
RMBK;RKLS;00:00:08.5566667;1454;8
EEZK;EEZB;00:00:08.9800000;1373;8
RSLR;RSL;00:00:09.5166667;1996;9
FRFH;FRFHW;00:00:09.5533333;255;9
KMCW;KMCD;00:00:09.6466667;375;9
EEZB;EEZK;00:00:09.7833333;1442;9
HHN;HHZ;00:00:10.0966667;8659;10
KGS;KG  P;00:00:10.1366667;22;10
ENOB;ENOBU;00:00:10.2466667;5878;10
RSL;RSLR;00:00:10.2733333;2058;10
RBRO;RBRE;00:00:10.4166667;595;10
KG  P;KGS;00:00:10.5000000;28;10
TKUC;TGI;00:00:10.8000000;35;10
KNAM;KNAMN;00:00:10.8233333;3159;10
MOP A;MOP R;00:00:10.9966667;4771;10
HBVP;HBST;00:00:11.1866667;1094;11
TS  W;TS  P;00:00:11.2166667;11998;11
HBST;HBVP;00:00:11.3333333;1100;11
MABO;MOBU;00:00:11.3866667;1909;11
RHAT;RHATA;00:00:11.7700000;1150;11
NWHWU;NWHW;00:00:11.8600000;1153;11
SNKW;SNKE;00:00:11.9400000;2812;11
MOD;MODU;00:00:11.9800000;570;11
EHGN;EHEOV;00:00:11.9833333;773;11
AKGA;AKSA;00:00:11.9933333;1068;11
BCKW;BCSO;00:00:12.0000000;11;12
DBAC;DCDF;00:00:12.0000000;51;12
DCDF;DBAC;00:00:12.0000000;56;12
AKSA;AKGA;00:00:12.0166667;1068;12
RHATA;RHAT;00:00:12.0433333;1143;12
MODU;MOD;00:00:12.1133333;611;12
NND;NSTD;00:00:12.1633333;6778;12
SWI;XAIW;00:00:12.2866667;24;12
NSTD;NND;00:00:12.4733333;6799;12
DNI;DPUM;00:00:12.5000000;1349;12
KKN E;KKP;00:00:12.5933333;1443;12
NWHW;NWHWU;00:00:12.7533333;1153;12
DPUM;DNI;00:00:12.8800000;1314;12
TS  T;TS;00:00:13.0000000;179;13
FRFHW;FRFH;00:00:13.0200000;257;13
KSTA;KG  P;00:00:13.3633333;22;13
FKWNB;FKR;00:00:13.4666667;229;13
RHIO;RHI;00:00:13.5133333;595;13
HLFG;HLFU;00:00:13.6200000;1972;13
HLFU;HLFG;00:00:13.6366667;1998;13
SKLS;SVO;00:00:13.7833333;457;13
KMCD;KMCW;00:00:13.9500000;551;13
TLW K;TLW S;00:00:13.9766667;985;13
RSDS;RSDG;00:00:14.1333333;3411;14
HWEA;HWED;00:00:14.2133333;3779;14
EWVA;EWVE;00:00:14.5066667;239;14
KKP;KKN E;00:00:14.5100000;1520;14
EDKR;EDKA;00:00:14.5200000;2733;14
EWVE;EWVA;00:00:14.6800000;244;14
KDD N;KHCH;00:00:14.7266667;11;14
TGIS;TGI;00:00:14.7533333;5523;14
RSDG;RSDS;00:00:14.8733333;3345;14
NBWH;NROS;00:00:14.8866667;2833;14
TLW S;TLW K;00:00:14.9433333;978;14
KDOB;KWST;00:00:15.0766667;8447;15
BRGBB;BRGBA;00:00:15.1033333;5311;15
LGOSO;LGOS;00:00:15.1800000;5519;15
BWUSN;BWUS;00:00:15.2600000;3173;15
BCSO;BCKW;00:00:15.6000000;20;15
TEHA;TEHN;00:00:15.9600000;580;15
REPG;RSTB;00:00:15.9866667;1100;15
RSL;RSLZ;00:00:16.0000000;15;16
YMMOL;MOL;00:00:16.0000000;11;16
ENOBU;ENOB;00:00:16.0566667;5924;16
SVO;SKLS;00:00:16.0600000;474;16
MGK;MGKU;00:00:16.1600000;1890;16
NFUA;NFUF;00:00:16.2100000;7081;16
RBRE;RBRO;00:00:16.3200000;593;16
BWUS;BWUSN;00:00:16.3300000;3056;16
KG  P;KSTA;00:00:16.3900000;23;16
WNS G;WNS;00:00:16.4466667;1672;16
BWSU;BAWS;00:00:16.5333333;941;16
EGRK;EVWM;00:00:16.6200000;1816;16
MGKU;MGK;00:00:16.7166667;1822;16
TFV;TFVA;00:00:16.9966667;3970;16
TGI;TGIS;00:00:17.0100000;5524;17
RKLS;RKLN;00:00:17.1133333;1456;17
KVI;KFNW;00:00:17.2700000;9205;17
FSINO;FSIN;00:00:17.3533333;4420;17
NROS;NBWH;00:00:17.3566667;2871;17
AKSS;AKSA;00:00:17.4133333;51;17
AKSG;AKSA;00:00:17.6766667;1017;17
DRBN;DRBA;00:00:17.7333333;1311;17
KDEM;KSTU;00:00:17.7833333;3850;17
KXA;XBHE;00:00:17.8033333;279;17
KHO;KHOL;00:00:17.8300000;4218;17
RHI;RHIO;00:00:17.8466667;593;17
FFAW;FHOES;00:00:17.8633333;8060;17
RMH;RMHR;00:00:17.8933333;246;17
TFVA;TFV;00:00:17.8966667;3938;17
SKK;SKU B;00:00:17.9166667;72;17
XAKG;XABT;00:00:17.9233333;13;17
BWUR;BETN;00:00:17.9533333;502;17
TSNU;TSNA;00:00:17.9800000;7864;17
AKSA;AKSG;00:00:18.0000000;1028;18
RSTB;REPG;00:00:18.0000000;1337;18
FNIS;FNISA;00:00:18.0333333;5833;18
TNB;TNBA;00:00:18.0333333;1965;18
FKRLS;FKRL;00:00:18.1733333;263;18
TKMA;TKM;00:00:18.2200000;294;18
LGOS;LGOSO;00:00:18.2766667;5105;18
TEHN;TEHA;00:00:18.4300000;577;18
KSTP;KSTA;00:00:18.4566667;3728;18
FWWS;FWWN;00:00:18.7333333;82;18
TERW;TERS;00:00:18.7333333;2148;18
EEDZ;EEDL;00:00:18.7800000;2173;18
TTPS;THP;00:00:18.7866667;548;18
TNBA;TNB;00:00:18.8266667;1951;18
RKLN;RKLS;00:00:18.9033333;1421;18
FKRL;FKRLS;00:00:18.9666667;259;18
NHBH;NHBU;00:00:18.9766667;5862;18
